ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68010,2019,X30.to.34.years,0,0,0,0,0,0
68010,2019,X35.to.39.years,3,3,0.7,0.6,0.7,6
68010,2019,X40.to.44.years,0,0,0,0,0,0
68010,2019,X45.to.49.years,0,0,0,0,0,0
68010,2019,X50.to.54.years,0,0,0,0,0,0
68010,2019,X55.to.59.years,0,0,0,0,0,0
68010,2019,X60.to.64.years,0,1,0.1,0,0.2,1
68010,2019,X65.to.69.years,3,104,12.4,0.6,25.9,107
68010,2019,X70.to.74.years,0,2,0.2,0,0.5,2
68010,2019,X75.to.79.years,0,2,0.2,0,0.5,2
68010,2019,X80.to.84.years,0,0,0,0,0,0
68010,2019,X85.years.and.over,0,0,0,0,0,0
68010,2019,Median.age..years.,16.3,17.5,NA,NA,NA,16.8
68010,2020,Total.population,436,405,NA,NA,NA,841
68010,2020,Under.5.years,5,3,1,1.1,0.7,8
68010,2020,X5.to.9.years,0,0,0,0,0,0
68010,2020,X10.to.14.years,129,63,22.8,29.6,15.6,192
68010,2020,X15.to.19.years,291,194,57.7,66.7,47.9,485
68010,2020,X20.to.24.years,0,0,0,0,0,0
68010,2020,X25.to.29.years,6,40,5.5,1.4,9.9,46
68010,2020,X30.to.34.years,0,6,0.7,0,1.5,6
68010,2020,X35.to.39.years,3,2,0.6,0.7,0.5,5
68010,2020,X40.to.44.years,0,0,0,0,0,0
68010,2020,X45.to.49.years,0,0,0,0,0,0
68010,2020,X50.to.54.years,0,0,0,0,0,0
68010,2020,X55.to.59.years,0,0,0,0,0,0
68010,2020,X60.to.64.years,0,6,0.7,0,1.5,6
68010,2020,X65.to.69.years,2,83,10.1,0.5,20.5,85
68010,2020,X70.to.74.years,0,6,0.7,0,1.5,6
68010,2020,X75.to.79.years,0,2,0.2,0,0.5,2
68010,2020,X80.to.84.years,0,0,0,0,0,0
68010,2020,X85.years.and.over,0,0,0,0,0,0
68010,2020,Median.age..years.,16.2,17.2,NA,NA,NA,16.5
68022,2018,Total.population,11351,11698,NA,NA,NA,23049
68022,2018,Under.5.years,770,810,6.9,6.8,6.9,1580
68022,2018,X5.to.9.years,887,1190,9,7.8,10.2,2077
68022,2018,X10.to.14.years,970,1230,9.5,8.5,10.5,2200
68022,2018,X15.to.19.years,756,868,7,6.7,7.4,1624
68022,2018,X20.to.24.years,270,414,3,2.4,3.5,684
68022,2018,X25.to.29.years,813,841,7.2,7.2,7.2,1654
68022,2018,X30.to.34.years,829,711,6.7,7.3,6.1,1540
68022,2018,X35.to.39.years,1077,877,8.5,9.5,7.5,1954
68022,2018,X40.to.44.years,857,915,7.7,7.5,7.8,1772
68022,2018,X45.to.49.years,802,773,6.8,7.1,6.6,1575
68022,2018,X50.to.54.years,615,770,6,5.4,6.6,1385
68022,2018,X55.to.59.years,678,641,5.7,6,5.5,1319
68022,2018,X60.to.64.years,557,458,4.4,4.9,3.9,1015
68022,2018,X65.to.69.years,398,458,3.7,3.5,3.9,856
68022,2018,X70.to.74.years,310,256,2.5,2.7,2.2,566
68022,2018,X75.to.79.years,304,212,2.2,2.7,1.8,516
68022,2018,X80.to.84.years,145,170,1.4,1.3,1.5,315
68022,2018,X85.years.and.over,313,104,1.8,2.8,0.9,417
68022,2018,Median.age..years.,36.8,33.6,NA,NA,NA,35.5
68022,2019,Total.population,12165,12885,NA,NA,NA,25050
68022,2019,Under.5.years,924,930,7.4,7.6,7.2,1854
68022,2019,X5.to.9.years,1049,1266,9.2,8.6,9.8,2315
68022,2019,X10.to.14.years,1018,1304,9.3,8.4,10.1,2322
68022,2019,X15.to.19.years,621,1019,6.5,5.1,7.9,1640
68022,2019,X20.to.24.years,325,473,3.2,2.7,3.7,798
68022,2019,X25.to.29.years,906,813,6.9,7.4,6.3,1719
68022,2019,X30.to.34.years,940,874,7.2,7.7,6.8,1814
68022,2019,X35.to.39.years,1300,955,9,10.7,7.4,2255
68022,2019,X40.to.44.years,899,1175,8.3,7.4,9.1,2074
68022,2019,X45.to.49.years,834,873,6.8,6.9,6.8,1707
68022,2019,X50.to.54.years,619,692,5.2,5.1,5.4,1311
68022,2019,X55.to.59.years,609,656,5,5,5.1,1265
68022,2019,X60.to.64.years,619,504,4.5,5.1,3.9,1123
68022,2019,X65.to.69.years,369,461,3.3,3,3.6,830
68022,2019,X70.to.74.years,358,270,2.5,2.9,2.1,628
68022,2019,X75.to.79.years,371,303,2.7,3,2.4,674
68022,2019,X80.to.84.years,193,199,1.6,1.6,1.5,392
68022,2019,X85.years.and.over,211,118,1.3,1.7,0.9,329
68022,2019,Median.age..years.,36.4,33.4,NA,NA,NA,35.2
68022,2020,Total.population,13212,13827,NA,NA,NA,27039
68022,2020,Under.5.years,949,1375,8.6,7.2,9.9,2324
68022,2020,X5.to.9.years,1243,1523,10.2,9.4,11,2766
68022,2020,X10.to.14.years,1120,1349,9.1,8.5,9.8,2469
68022,2020,X15.to.19.years,769,1027,6.6,5.8,7.4,1796
68022,2020,X20.to.24.years,474,374,3.1,3.6,2.7,848
68022,2020,X25.to.29.years,814,737,5.7,6.2,5.3,1551
68022,2020,X30.to.34.years,1001,954,7.2,7.6,6.9,1955
68022,2020,X35.to.39.years,1443,1015,9.1,10.9,7.3,2458
68022,2020,X40.to.44.years,759,1227,7.3,5.7,8.9,1986
