ZIP,Year,Measure,Female,Male,Percent,Percent.Female,Percent.Male,Total
68107,2018,X10.to.14.years,1359,1657,9.6,8.9,10.4,3016
68107,2018,X15.to.19.years,1324,1106,7.8,8.6,6.9,2430
68107,2018,X20.to.24.years,1208,1200,7.7,7.9,7.5,2408
68107,2018,X25.to.29.years,1129,1378,8,7.4,8.6,2507
68107,2018,X30.to.34.years,1129,977,6.7,7.4,6.1,2106
68107,2018,X35.to.39.years,1255,1306,8.2,8.2,8.2,2561
68107,2018,X40.to.44.years,1058,965,6.5,6.9,6,2023
68107,2018,X45.to.49.years,740,942,5.4,4.8,5.9,1682
68107,2018,X50.to.54.years,747,964,5.5,4.9,6,1711
68107,2018,X55.to.59.years,620,768,4.4,4.1,4.8,1388
68107,2018,X60.to.64.years,699,588,4.1,4.6,3.7,1287
68107,2018,X65.to.69.years,312,481,2.5,2,3,793
68107,2018,X70.to.74.years,264,178,1.4,1.7,1.1,442
68107,2018,X75.to.79.years,190,204,1.3,1.2,1.3,394
68107,2018,X80.to.84.years,167,138,1,1.1,0.9,305
68107,2018,X85.years.and.over,168,149,1,1.1,0.9,317
68107,2018,Median.age..years.,28.9,28.7,NA,NA,NA,28.8
68107,2019,Total.population,15006,15422,NA,NA,NA,30428
68107,2019,Under.5.years,1478,1526,9.9,9.8,9.9,3004
68107,2019,X5.to.9.years,1414,1374,9.2,9.4,8.9,2788
68107,2019,X10.to.14.years,1437,1564,9.9,9.6,10.1,3001
68107,2019,X15.to.19.years,1160,1192,7.7,7.7,7.7,2352
68107,2019,X20.to.24.years,1172,1139,7.6,7.8,7.4,2311
68107,2019,X25.to.29.years,1298,1312,8.6,8.6,8.5,2610
68107,2019,X30.to.34.years,1013,919,6.3,6.8,6,1932
68107,2019,X35.to.39.years,1146,1079,7.3,7.6,7,2225
68107,2019,X40.to.44.years,854,934,5.9,5.7,6.1,1788
68107,2019,X45.to.49.years,783,809,5.2,5.2,5.2,1592
68107,2019,X50.to.54.years,652,950,5.3,4.3,6.2,1602
68107,2019,X55.to.59.years,669,817,4.9,4.5,5.3,1486
68107,2019,X60.to.64.years,772,622,4.6,5.1,4,1394
68107,2019,X65.to.69.years,339,470,2.7,2.3,3,809
68107,2019,X70.to.74.years,286,213,1.6,1.9,1.4,499
68107,2019,X75.to.79.years,198,218,1.4,1.3,1.4,416
68107,2019,X80.to.84.years,196,167,1.2,1.3,1.1,363
68107,2019,X85.years.and.over,139,117,0.8,0.9,0.8,256
68107,2019,Median.age..years.,28.4,28,NA,NA,NA,28.3
68107,2020,Total.population,14237,14969,NA,NA,NA,29206
68107,2020,Under.5.years,1121,1479,8.9,7.9,9.9,2600
68107,2020,X5.to.9.years,1182,1366,8.7,8.3,9.1,2548
68107,2020,X10.to.14.years,1576,1353,10,11.1,9,2929
68107,2020,X15.to.19.years,1133,1119,7.7,8,7.5,2252
68107,2020,X20.to.24.years,1134,1025,7.4,8,6.8,2159
68107,2020,X25.to.29.years,1042,1055,7.2,7.3,7,2097
68107,2020,X30.to.34.years,818,715,5.2,5.7,4.8,1533
68107,2020,X35.to.39.years,1079,1190,7.8,7.6,7.9,2269
68107,2020,X40.to.44.years,894,1042,6.6,6.3,7,1936
68107,2020,X45.to.49.years,868,813,5.8,6.1,5.4,1681
68107,2020,X50.to.54.years,621,856,5.1,4.4,5.7,1477
68107,2020,X55.to.59.years,673,857,5.2,4.7,5.7,1530
68107,2020,X60.to.64.years,614,628,4.3,4.3,4.2,1242
68107,2020,X65.to.69.years,610,485,3.7,4.3,3.2,1095
68107,2020,X70.to.74.years,361,488,2.9,2.5,3.3,849
68107,2020,X75.to.79.years,196,221,1.4,1.4,1.5,417
68107,2020,X80.to.84.years,165,176,1.2,1.2,1.2,341
68107,2020,X85.years.and.over,150,101,0.9,1.1,0.7,251
68107,2020,Median.age..years.,29.6,30.5,NA,NA,NA,30.1
68108,2018,Total.population,7104,8232,NA,NA,NA,15336
68108,2018,Under.5.years,735,609,8.8,10.3,7.4,1344
68108,2018,X5.to.9.years,544,859,9.1,7.7,10.4,1403
68108,2018,X10.to.14.years,434,689,7.3,6.1,8.4,1123
68108,2018,X15.to.19.years,580,696,8.3,8.2,8.5,1276
68108,2018,X20.to.24.years,520,496,6.6,7.3,6,1016
68108,2018,X25.to.29.years,544,680,8,7.7,8.3,1224
68108,2018,X30.to.34.years,498,754,8.2,7,9.2,1252
68108,2018,X35.to.39.years,494,530,6.7,7,6.4,1024
68108,2018,X40.to.44.years,349,562,5.9,4.9,6.8,911
68108,2018,X45.to.49.years,595,468,6.9,8.4,5.7,1063
68108,2018,X50.to.54.years,441,387,5.4,6.2,4.7,828
68108,2018,X55.to.59.years,457,578,6.7,6.4,7,1035
68108,2018,X60.to.64.years,293,283,3.8,4.1,3.4,576
68108,2018,X65.to.69.years,183,222,2.6,2.6,2.7,405
68108,2018,X70.to.74.years,151,139,1.9,2.1,1.7,290
68108,2018,X75.to.79.years,87,118,1.3,1.2,1.4,205
68108,2018,X80.to.84.years,86,85,1.1,1.2,1,171
68108,2018,X85.years.and.over,113,77,1.2,1.6,0.9,190
68108,2018,Median.age..years.,31.6,30.7,NA,NA,NA,31
68108,2019,Total.population,6814,7774,NA,NA,NA,14588
68108,2019,Under.5.years,696,656,9.3,10.2,8.4,1352
68108,2019,X5.to.9.years,507,721,8.4,7.4,9.3,1228
68108,2019,X10.to.14.years,485,680,8,7.1,8.7,1165
68108,2019,X15.to.19.years,505,660,8,7.4,8.5,1165
68108,2019,X20.to.24.years,513,410,6.3,7.5,5.3,923
68108,2019,X25.to.29.years,542,690,8.4,8,8.9,1232
68108,2019,X30.to.34.years,530,636,8,7.8,8.2,1166
68108,2019,X35.to.39.years,401,500,6.2,5.9,6.4,901
68108,2019,X40.to.44.years,417,491,6.2,6.1,6.3,908
68108,2019,X45.to.49.years,428,394,5.6,6.3,5.1,822
68108,2019,X50.to.54.years,437,473,6.2,6.4,6.1,910
68108,2019,X55.to.59.years,479,462,6.5,7,5.9,941
68108,2019,X60.to.64.years,288,288,3.9,4.2,3.7,576
68108,2019,X65.to.69.years,203,231,3,3,3,434
68108,2019,X70.to.74.years,154,185,2.3,2.3,2.4,339
68108,2019,X75.to.79.years,91,130,1.5,1.3,1.7,221
68108,2019,X80.to.84.years,73,59,0.9,1.1,0.8,132
68108,2019,X85.years.and.over,65,108,1.2,1,1.4,173
68108,2019,Median.age..years.,30.9,30.5,NA,NA,NA,30.7
68108,2020,Total.population,7182,7687,NA,NA,NA,14869
68108,2020,Under.5.years,831,637,9.9,11.6,8.3,1468
68108,2020,X5.to.9.years,524,738,8.5,7.3,9.6,1262
68108,2020,X10.to.14.years,565,628,8,7.9,8.2,1193
68108,2020,X15.to.19.years,549,710,8.5,7.6,9.2,1259
68108,2020,X20.to.24.years,510,472,6.6,7.1,6.1,982
68108,2020,X25.to.29.years,747,670,9.5,10.4,8.7,1417
68108,2020,X30.to.34.years,492,541,6.9,6.9,7,1033
68108,2020,X35.to.39.years,493,473,6.5,6.9,6.2,966
68108,2020,X40.to.44.years,359,454,5.5,5,5.9,813
68108,2020,X45.to.49.years,420,429,5.7,5.8,5.6,849
68108,2020,X50.to.54.years,383,372,5.1,5.3,4.8,755
68108,2020,X55.to.59.years,399,438,5.6,5.6,5.7,837
68108,2020,X60.to.64.years,246,385,4.2,3.4,5,631
68108,2020,X65.to.69.years,208,173,2.6,2.9,2.3,381
68108,2020,X70.to.74.years,138,181,2.1,1.9,2.4,319
68108,2020,X75.to.79.years,78,136,1.4,1.1,1.8,214
68108,2020,X80.to.84.years,47,153,1.3,0.7,2,200
68108,2020,X85.years.and.over,193,97,2,2.7,1.3,290
68108,2020,Median.age..years.,28.6,29.9,NA,NA,NA,29.4
68110,2018,Total.population,4144,5142,NA,NA,NA,9286
68110,2018,Under.5.years,260,270,5.7,6.3,5.3,530
68110,2018,X5.to.9.years,410,356,8.2,9.9,6.9,766
68110,2018,X10.to.14.years,371,481,9.2,9,9.4,852
68110,2018,X15.to.19.years,180,170,3.8,4.3,3.3,350
68110,2018,X20.to.24.years,243,216,4.9,5.9,4.2,459
68110,2018,X25.to.29.years,113,581,7.5,2.7,11.3,694
68110,2018,X30.to.34.years,297,440,7.9,7.2,8.6,737
68110,2018,X35.to.39.years,342,382,7.8,8.3,7.4,724
68110,2018,X40.to.44.years,321,521,9.1,7.7,10.1,842
68110,2018,X45.to.49.years,186,304,5.3,4.5,5.9,490
68110,2018,X50.to.54.years,266,386,7,6.4,7.5,652
68110,2018,X55.to.59.years,322,465,8.5,7.8,9,787
68110,2018,X60.to.64.years,321,182,5.4,7.7,3.5,503
68110,2018,X65.to.69.years,141,166,3.3,3.4,3.2,307
68110,2018,X70.to.74.years,129,92,2.4,3.1,1.8,221
68110,2018,X75.to.79.years,79,43,1.3,1.9,0.8,122
68110,2018,X80.to.84.years,84,50,1.4,2,1,134
68110,2018,X85.years.and.over,79,37,1.2,1.9,0.7,116
68110,2018,Median.age..years.,37.6,35.9,NA,NA,NA,36.8
68110,2019,Total.population,4357,5545,NA,NA,NA,9902
68110,2019,Under.5.years,284,307,6,6.5,5.5,591
68110,2019,X5.to.9.years,498,323,8.3,11.4,5.8,821
68110,2019,X10.to.14.years,376,497,8.8,8.6,9,873
68110,2019,X15.to.19.years,235,224,4.6,5.4,4,459
68110,2019,X20.to.24.years,223,382,6.1,5.1,6.9,605
68110,2019,X25.to.29.years,135,594,7.4,3.1,10.7,729
68110,2019,X30.to.34.years,293,511,8.1,6.7,9.2,804
68110,2019,X35.to.39.years,323,421,7.5,7.4,7.6,744
68110,2019,X40.to.44.years,327,535,8.7,7.5,9.6,862
68110,2019,X45.to.49.years,225,296,5.3,5.2,5.3,521
68110,2019,X50.to.54.years,279,375,6.6,6.4,6.8,654
68110,2019,X55.to.59.years,333,454,7.9,7.6,8.2,787
68110,2019,X60.to.64.years,331,249,5.9,7.6,4.5,580
68110,2019,X65.to.69.years,167,193,3.6,3.8,3.5,360
68110,2019,X70.to.74.years,82,90,1.7,1.9,1.6,172
68110,2019,X75.to.79.years,82,20,1,1.9,0.4,102
68110,2019,X80.to.84.years,70,52,1.2,1.6,0.9,122
68110,2019,X85.years.and.over,94,22,1.2,2.2,0.4,116
68110,2019,Median.age..years.,36.9,34,NA,NA,NA,35.6
68110,2020,Total.population,4392,5598,NA,NA,NA,9990
68110,2020,Under.5.years,267,278,5.5,6.1,5,545
68110,2020,X5.to.9.years,533,173,7.1,12.1,3.1,706
68110,2020,X10.to.14.years,356,381,7.4,8.1,6.8,737
68110,2020,X15.to.19.years,201,227,4.3,4.6,4.1,428
68110,2020,X20.to.24.years,249,333,5.8,5.7,5.9,582
68110,2020,X25.to.29.years,172,709,8.8,3.9,12.7,881
68110,2020,X30.to.34.years,335,598,9.3,7.6,10.7,933
68110,2020,X35.to.39.years,247,391,6.4,5.6,7,638
68110,2020,X40.to.44.years,319,535,8.5,7.3,9.6,854
68110,2020,X45.to.49.years,264,340,6,6,6.1,604
68110,2020,X50.to.54.years,248,407,6.6,5.6,7.3,655
68110,2020,X55.to.59.years,293,429,7.2,6.7,7.7,722
68110,2020,X60.to.64.years,310,356,6.7,7.1,6.4,666
68110,2020,X65.to.69.years,208,281,4.9,4.7,5,489
68110,2020,X70.to.74.years,154,93,2.5,3.5,1.7,247
68110,2020,X75.to.79.years,56,12,0.7,1.3,0.2,68
68110,2020,X80.to.84.years,61,36,1,1.4,0.6,97
68110,2020,X85.years.and.over,119,19,1.4,2.7,0.3,138
68110,2020,Median.age..years.,36.7,37,NA,NA,NA,36.8
68111,2018,Total.population,11467,10012,NA,NA,NA,21479
68111,2018,Under.5.years,1073,1063,9.9,9.4,10.6,2136
68111,2018,X5.to.9.years,1006,1084,9.7,8.8,10.8,2090
68111,2018,X10.to.14.years,808,921,8,7,9.2,1729
68111,2018,X15.to.19.years,801,1164,9.1,7,11.6,1965
68111,2018,X20.to.24.years,740,638,6.4,6.5,6.4,1378
68111,2018,X25.to.29.years,894,563,6.8,7.8,5.6,1457
68111,2018,X30.to.34.years,699,591,6,6.1,5.9,1290
68111,2018,X35.to.39.years,891,531,6.6,7.8,5.3,1422
68111,2018,X40.to.44.years,523,701,5.7,4.6,7,1224
68111,2018,X45.to.49.years,692,469,5.4,6,4.7,1161
68111,2018,X50.to.54.years,530,484,4.7,4.6,4.8,1014
68111,2018,X55.to.59.years,647,539,5.5,5.6,5.4,1186
68111,2018,X60.to.64.years,733,504,5.8,6.4,5,1237
68111,2018,X65.to.69.years,472,282,3.5,4.1,2.8,754
68111,2018,X70.to.74.years,419,204,2.9,3.7,2,623
68111,2018,X75.to.79.years,249,158,1.9,2.2,1.6,407
68111,2018,X80.to.84.years,172,61,1.1,1.5,0.6,233
68111,2018,X85.years.and.over,118,55,0.8,1,0.5,173
68111,2018,Median.age..years.,33.8,25.8,NA,NA,NA,29.9
68111,2019,Total.population,12126,10598,NA,NA,NA,22724
68111,2019,Under.5.years,1202,1047,9.9,9.9,9.9,2249
68111,2019,X5.to.9.years,1225,1107,10.3,10.1,10.4,2332
68111,2019,X10.to.14.years,841,1170,8.8,6.9,11,2011
68111,2019,X15.to.19.years,845,1008,8.2,7,9.5,1853
68111,2019,X20.to.24.years,625,777,6.2,5.2,7.3,1402
68111,2019,X25.to.29.years,784,665,6.4,6.5,6.3,1449
68111,2019,X30.to.34.years,755,621,6.1,6.2,5.9,1376
68111,2019,X35.to.39.years,1063,663,7.6,8.8,6.3,1726
68111,2019,X40.to.44.years,584,717,5.7,4.8,6.8,1301
68111,2019,X45.to.49.years,653,512,5.1,5.4,4.8,1165
68111,2019,X50.to.54.years,582,557,5,4.8,5.3,1139
68111,2019,X55.to.59.years,651,575,5.4,5.4,5.4,1226
68111,2019,X60.to.64.years,753,452,5.3,6.2,4.3,1205
68111,2019,X65.to.69.years,524,271,3.5,4.3,2.6,795
68111,2019,X70.to.74.years,452,204,2.9,3.7,1.9,656
68111,2019,X75.to.79.years,303,139,1.9,2.5,1.3,442
68111,2019,X80.to.84.years,174,61,1,1.4,0.6,235
68111,2019,X85.years.and.over,110,52,0.7,0.9,0.5,162
68111,2019,Median.age..years.,34.2,26.2,NA,NA,NA,30.6
68111,2020,Total.population,12486,10885,NA,NA,NA,23371
68111,2020,Under.5.years,1329,1188,10.8,10.6,10.9,2517
68111,2020,X5.to.9.years,1283,1077,10.1,10.3,9.9,2360
68111,2020,X10.to.14.years,920,1527,10.5,7.4,14,2447
68111,2020,X15.to.19.years,776,851,7,6.2,7.8,1627
68111,2020,X20.to.24.years,562,718,5.5,4.5,6.6,1280
68111,2020,X25.to.29.years,849,772,6.9,6.8,7.1,1621
68111,2020,X30.to.34.years,830,692,6.5,6.6,6.4,1522
68111,2020,X35.to.39.years,1133,579,7.3,9.1,5.3,1712
68111,2020,X40.to.44.years,601,671,5.4,4.8,6.2,1272
68111,2020,X45.to.49.years,620,567,5.1,5,5.2,1187
68111,2020,X50.to.54.years,669,574,5.3,5.4,5.3,1243
68111,2020,X55.to.59.years,676,557,5.3,5.4,5.1,1233
68111,2020,X60.to.64.years,751,377,4.8,6,3.5,1128
68111,2020,X65.to.69.years,507,278,3.4,4.1,2.6,785
68111,2020,X70.to.74.years,400,202,2.6,3.2,1.9,602
68111,2020,X75.to.79.years,288,128,1.8,2.3,1.2,416
68111,2020,X80.to.84.years,198,55,1.1,1.6,0.5,253
68111,2020,X85.years.and.over,94,72,0.7,0.8,0.7,166
68111,2020,Median.age..years.,34,25.6,NA,NA,NA,29.3
68112,2018,Total.population,6207,5367,NA,NA,NA,11574
68112,2018,Under.5.years,432,321,6.5,7,6,753
68112,2018,X5.to.9.years,387,533,7.9,6.2,9.9,920
68112,2018,X10.to.14.years,399,378,6.7,6.4,7,777
68112,2018,X15.to.19.years,637,434,9.3,10.3,8.1,1071
68112,2018,X20.to.24.years,255,421,5.8,4.1,7.8,676
68112,2018,X25.to.29.years,356,225,5,5.7,4.2,581
68112,2018,X30.to.34.years,361,234,5.1,5.8,4.4,595
68112,2018,X35.to.39.years,406,436,7.3,6.5,8.1,842
68112,2018,X40.to.44.years,398,244,5.5,6.4,4.5,642
68112,2018,X45.to.49.years,246,402,5.6,4,7.5,648
68112,2018,X50.to.54.years,412,330,6.4,6.6,6.1,742
68112,2018,X55.to.59.years,449,350,6.9,7.2,6.5,799
68112,2018,X60.to.64.years,376,423,6.9,6.1,7.9,799
68112,2018,X65.to.69.years,344,180,4.5,5.5,3.4,524
68112,2018,X70.to.74.years,264,198,4,4.3,3.7,462
68112,2018,X75.to.79.years,207,84,2.5,3.3,1.6,291
68112,2018,X80.to.84.years,116,91,1.8,1.9,1.7,207
68112,2018,X85.years.and.over,162,83,2.1,2.6,1.5,245
68112,2018,Median.age..years.,38.2,36.6,NA,NA,NA,37.1
68112,2019,Total.population,5921,5442,NA,NA,NA,11363
68112,2019,Under.5.years,359,405,6.7,6.1,7.4,764
68112,2019,X5.to.9.years,326,476,7.1,5.5,8.7,802
68112,2019,X10.to.14.years,345,497,7.4,5.8,9.1,842
68112,2019,X15.to.19.years,586,497,9.5,9.9,9.1,1083
68112,2019,X20.to.24.years,195,361,4.9,3.3,6.6,556
68112,2019,X25.to.29.years,372,215,5.2,6.3,4,587
68112,2019,X30.to.34.years,369,269,5.6,6.2,4.9,638
68112,2019,X35.to.39.years,446,432,7.7,7.5,7.9,878
68112,2019,X40.to.44.years,344,191,4.7,5.8,3.5,535
68112,2019,X45.to.49.years,223,429,5.7,3.8,7.9,652
68112,2019,X50.to.54.years,351,273,5.5,5.9,5,624
68112,2019,X55.to.59.years,403,334,6.5,6.8,6.1,737
68112,2019,X60.to.64.years,459,435,7.9,7.8,8,894
68112,2019,X65.to.69.years,366,212,5.1,6.2,3.9,578
68112,2019,X70.to.74.years,287,173,4,4.8,3.2,460
68112,2019,X75.to.79.years,205,69,2.4,3.5,1.3,274
68112,2019,X80.to.84.years,131,99,2,2.2,1.8,230
68112,2019,X85.years.and.over,154,75,2,2.6,1.4,229
68112,2019,Median.age..years.,39,35,NA,NA,NA,37.1
68112,2020,Total.population,6168,5436,NA,NA,NA,11604
68112,2020,Under.5.years,607,445,9.1,9.8,8.2,1052
68112,2020,X5.to.9.years,240,509,6.5,3.9,9.4,749
68112,2020,X10.to.14.years,395,419,7,6.4,7.7,814
68112,2020,X15.to.19.years,562,539,9.5,9.1,9.9,1101
68112,2020,X20.to.24.years,144,283,3.7,2.3,5.2,427
68112,2020,X25.to.29.years,479,192,5.8,7.8,3.5,671
68112,2020,X30.to.34.years,391,331,6.2,6.3,6.1,722
68112,2020,X35.to.39.years,413,413,7.1,6.7,7.6,826
68112,2020,X40.to.44.years,360,165,4.5,5.8,3,525
68112,2020,X45.to.49.years,258,370,5.4,4.2,6.8,628
68112,2020,X50.to.54.years,311,311,5.4,5,5.7,622
68112,2020,X55.to.59.years,335,336,5.8,5.4,6.2,671
68112,2020,X60.to.64.years,414,461,7.5,6.7,8.5,875
68112,2020,X65.to.69.years,404,240,5.5,6.5,4.4,644
68112,2020,X70.to.74.years,354,171,4.5,5.7,3.1,525
68112,2020,X75.to.79.years,175,57,2,2.8,1,232
68112,2020,X80.to.84.years,190,120,2.7,3.1,2.2,310
68112,2020,X85.years.and.over,136,74,1.8,2.2,1.4,210
68112,2020,Median.age..years.,37.6,35,NA,NA,NA,36.7
68114,2018,Total.population,9632,8168,NA,NA,NA,17800
68114,2018,Under.5.years,575,551,6.3,6,6.7,1126
68114,2018,X5.to.9.years,425,569,5.6,4.4,7,994
68114,2018,X10.to.14.years,486,484,5.4,5,5.9,970
68114,2018,X15.to.19.years,522,433,5.4,5.4,5.3,955
68114,2018,X20.to.24.years,718,282,5.6,7.5,3.5,1000
68114,2018,X25.to.29.years,900,866,9.9,9.3,10.6,1766
68114,2018,X30.to.34.years,650,772,8,6.7,9.5,1422
68114,2018,X35.to.39.years,480,495,5.5,5,6.1,975
68114,2018,X40.to.44.years,529,476,5.6,5.5,5.8,1005
68114,2018,X45.to.49.years,416,420,4.7,4.3,5.1,836
68114,2018,X50.to.54.years,473,416,5,4.9,5.1,889
68114,2018,X55.to.59.years,608,507,6.3,6.3,6.2,1115
68114,2018,X60.to.64.years,702,520,6.9,7.3,6.4,1222
68114,2018,X65.to.69.years,430,397,4.6,4.5,4.9,827
68114,2018,X70.to.74.years,381,255,3.6,4,3.1,636
68114,2018,X75.to.79.years,270,242,2.9,2.8,3,512
68114,2018,X80.to.84.years,437,158,3.3,4.5,1.9,595
68114,2018,X85.years.and.over,630,325,5.4,6.5,4,955
68114,2018,Median.age..years.,40.4,36.1,NA,NA,NA,38.3
68114,2019,Total.population,9343,8372,NA,NA,NA,17715
68114,2019,Under.5.years,615,508,6.3,6.6,6.1,1123
68114,2019,X5.to.9.years,397,616,5.7,4.2,7.4,1013
68114,2019,X10.to.14.years,468,494,5.4,5,5.9,962
68114,2019,X15.to.19.years,559,412,5.5,6,4.9,971
68114,2019,X20.to.24.years,606,412,5.7,6.5,4.9,1018
68114,2019,X25.to.29.years,804,927,9.8,8.6,11.1,1731
68114,2019,X30.to.34.years,813,831,9.3,8.7,9.9,1644
68114,2019,X35.to.39.years,313,492,4.5,3.4,5.9,805
68114,2019,X40.to.44.years,510,449,5.4,5.5,5.4,959
68114,2019,X45.to.49.years,426,380,4.5,4.6,4.5,806
68114,2019,X50.to.54.years,485,429,5.2,5.2,5.1,914
68114,2019,X55.to.59.years,639,513,6.5,6.8,6.1,1152
68114,2019,X60.to.64.years,660,534,6.7,7.1,6.4,1194
68114,2019,X65.to.69.years,437,361,4.5,4.7,4.3,798
68114,2019,X70.to.74.years,412,302,4,4.4,3.6,714
68114,2019,X75.to.79.years,263,244,2.9,2.8,2.9,507
68114,2019,X80.to.84.years,397,131,3,4.2,1.6,528
68114,2019,X85.years.and.over,539,337,4.9,5.8,4,876
68114,2019,Median.age..years.,40.6,34.9,NA,NA,NA,37.7
68114,2020,Total.population,9014,8651,NA,NA,NA,17665
68114,2020,Under.5.years,621,496,6.3,6.9,5.7,1117
68114,2020,X5.to.9.years,343,559,5.1,3.8,6.5,902
68114,2020,X10.to.14.years,455,490,5.3,5,5.7,945
68114,2020,X15.to.19.years,487,486,5.5,5.4,5.6,973
68114,2020,X20.to.24.years,559,742,7.4,6.2,8.6,1301
68114,2020,X25.to.29.years,621,835,8.2,6.9,9.7,1456
68114,2020,X30.to.34.years,721,672,7.9,8,7.8,1393
68114,2020,X35.to.39.years,331,577,5.1,3.7,6.7,908
68114,2020,X40.to.44.years,574,463,5.9,6.4,5.4,1037
68114,2020,X45.to.49.years,437,411,4.8,4.8,4.8,848
68114,2020,X50.to.54.years,464,387,4.8,5.1,4.5,851
68114,2020,X55.to.59.years,600,465,6,6.7,5.4,1065
68114,2020,X60.to.64.years,648,531,6.7,7.2,6.1,1179
68114,2020,X65.to.69.years,487,436,5.2,5.4,5,923
68114,2020,X70.to.74.years,378,334,4,4.2,3.9,712
68114,2020,X75.to.79.years,329,279,3.4,3.6,3.2,608
68114,2020,X80.to.84.years,359,117,2.7,4,1.4,476
68114,2020,X85.years.and.over,600,371,5.5,6.7,4.3,971
68114,2020,Median.age..years.,43.4,35.3,NA,NA,NA,39.3
68116,2018,Total.population,15670,14728,NA,NA,NA,30398
68116,2018,Under.5.years,1350,1514,9.4,8.6,10.3,2864
68116,2018,X5.to.9.years,1085,1178,7.4,6.9,8,2263
68116,2018,X10.to.14.years,1224,1264,8.2,7.8,8.6,2488
68116,2018,X15.to.19.years,787,872,5.5,5,5.9,1659
68116,2018,X20.to.24.years,689,640,4.4,4.4,4.3,1329
68116,2018,X25.to.29.years,1375,1012,7.9,8.8,6.9,2387
68116,2018,X30.to.34.years,1501,1429,9.6,9.6,9.7,2930
68116,2018,X35.to.39.years,1330,1318,8.7,8.5,8.9,2648
68116,2018,X40.to.44.years,1111,1031,7,7.1,7,2142
68116,2018,X45.to.49.years,998,911,6.3,6.4,6.2,1909
68116,2018,X50.to.54.years,842,987,6,5.4,6.7,1829
68116,2018,X55.to.59.years,952,669,5.3,6.1,4.5,1621
68116,2018,X60.to.64.years,867,588,4.8,5.5,4,1455
68116,2018,X65.to.69.years,599,549,3.8,3.8,3.7,1148
68116,2018,X70.to.74.years,302,369,2.2,1.9,2.5,671
68116,2018,X75.to.79.years,214,121,1.1,1.4,0.8,335
68116,2018,X80.to.84.years,217,194,1.4,1.4,1.3,411
68116,2018,X85.years.and.over,227,82,1,1.4,0.6,309
68116,2018,Median.age..years.,34.5,33.2,NA,NA,NA,33.8
68116,2019,Total.population,16467,14851,NA,NA,NA,31318
68116,2019,Under.5.years,1400,1494,9.2,8.5,10.1,2894
68116,2019,X5.to.9.years,1254,1169,7.7,7.6,7.9,2423
68116,2019,X10.to.14.years,1254,1225,7.9,7.6,8.2,2479
68116,2019,X15.to.19.years,818,913,5.5,5,6.1,1731
68116,2019,X20.to.24.years,946,567,4.8,5.7,3.8,1513
68116,2019,X25.to.29.years,1271,886,6.9,7.7,6,2157
68116,2019,X30.to.34.years,1460,1409,9.2,8.9,9.5,2869
68116,2019,X35.to.39.years,1459,1493,9.4,8.9,10.1,2952
68116,2019,X40.to.44.years,1132,1067,7,6.9,7.2,2199
68116,2019,X45.to.49.years,976,826,5.8,5.9,5.6,1802
68116,2019,X50.to.54.years,898,1133,6.5,5.5,7.6,2031
68116,2019,X55.to.59.years,989,734,5.5,6,4.9,1723
68116,2019,X60.to.64.years,879,573,4.6,5.3,3.9,1452
68116,2019,X65.to.69.years,602,539,3.6,3.7,3.6,1141
68116,2019,X70.to.74.years,384,396,2.5,2.3,2.7,780
68116,2019,X75.to.79.years,242,162,1.3,1.5,1.1,404
68116,2019,X80.to.84.years,223,192,1.3,1.4,1.3,415
68116,2019,X85.years.and.over,280,73,1.1,1.7,0.5,353
68116,2019,Median.age..years.,34.6,34.1,NA,NA,NA,34.4
68116,2020,Total.population,17334,14684,NA,NA,NA,32018
68116,2020,Under.5.years,1570,1431,9.4,9.1,9.7,3001
68116,2020,X5.to.9.years,1207,1182,7.5,7,8,2389
68116,2020,X10.to.14.years,1563,1288,8.9,9,8.8,2851
68116,2020,X15.to.19.years,972,814,5.6,5.6,5.5,1786
68116,2020,X20.to.24.years,912,519,4.5,5.3,3.5,1431
68116,2020,X25.to.29.years,1399,793,6.8,8.1,5.4,2192
68116,2020,X30.to.34.years,1479,1662,9.8,8.5,11.3,3141
68116,2020,X35.to.39.years,1287,1279,8,7.4,8.7,2566
68116,2020,X40.to.44.years,1314,1115,7.6,7.6,7.6,2429
68116,2020,X45.to.49.years,1006,1009,6.3,5.8,6.9,2015
68116,2020,X50.to.54.years,960,968,6,5.5,6.6,1928
68116,2020,X55.to.59.years,921,727,5.1,5.3,5,1648
68116,2020,X60.to.64.years,888,522,4.4,5.1,3.6,1410
68116,2020,X65.to.69.years,558,565,3.5,3.2,3.8,1123
68116,2020,X70.to.74.years,491,395,2.8,2.8,2.7,886
68116,2020,X75.to.79.years,275,162,1.4,1.6,1.1,437
68116,2020,X80.to.84.years,228,164,1.2,1.3,1.1,392
68116,2020,X85.years.and.over,304,89,1.2,1.8,0.6,393
68116,2020,Median.age..years.,34,33.8,NA,NA,NA,33.9
68117,2018,Total.population,4559,4099,NA,NA,NA,8658
68117,2018,Under.5.years,378,230,7,8.3,5.6,608
68117,2018,X5.to.9.years,344,228,6.6,7.5,5.6,572
68117,2018,X10.to.14.years,442,336,9,9.7,8.2,778
68117,2018,X15.to.19.years,349,379,8.4,7.7,9.2,728
68117,2018,X20.to.24.years,121,317,5.1,2.7,7.7,438
68117,2018,X25.to.29.years,358,244,7,7.9,6,602
68117,2018,X30.to.34.years,293,275,6.6,6.4,6.7,568
