state,ELL_status,score_2019,score_2022,subject
Illinois,Not ELL,268,266,reading_8
Indiana,ELL,250,230,reading_8
Indiana,Not ELL,267,263,reading_8
Massachusetts,ELL,217,215,reading_8
Massachusetts,Not ELL,276,272,reading_8
Michigan,ELL,234,229,reading_8
Michigan,Not ELL,264,260,reading_8
Minnesota,ELL,212,206,reading_8
Minnesota,Not ELL,267,264,reading_8
Missouri,ELL,NA,216,reading_8
Missouri,Not ELL,264,260,reading_8
New Hampshire,ELL,NA,NA,reading_8
New Hampshire,Not ELL,269,264,reading_8
New Jersey,ELL,199,209,reading_8
New Jersey,Not ELL,273,272,reading_8
New York,ELL,211,212,reading_8
New York,Not ELL,265,266,reading_8
North Carolina,ELL,210,228,reading_8
North Carolina,Not ELL,265,259,reading_8
North Dakota,ELL,NA,NA,reading_8
North Dakota,Not ELL,264,259,reading_8
Ohio,ELL,232,227,reading_8
Ohio,Not ELL,268,263,reading_8
Tennessee,ELL,219,206,reading_8
Tennessee,Not ELL,264,260,reading_8
Texas,ELL,227,239,reading_8
Texas,Not ELL,261,260,reading_8
Utah,ELL,219,231,reading_8
Utah,Not ELL,270,269,reading_8
Virginia,ELL,206,210,reading_8
Virginia,Not ELL,265,263,reading_8
Washington,ELL,211,216,reading_8
Washington,Not ELL,271,266,reading_8
Wisconsin,ELL,230,226,reading_8
Wisconsin,Not ELL,269,264,reading_8
